,product_id,store_id,brand_id,date,sales_product,MA7_P,LAG7_P,sales_brand,MA7_B,LAG7_B,sales_store,MA7_S,LAG7_S
0,0,0,0,2021-01-01,6,,,22,,,39,,
5,0,0,0,2021-01-02,19,,,29,,,48,,
10,0,0,0,2021-01-03,14,,,25,,,53,,
15,0,0,0,2021-01-04,10,,,23,,,29,,
20,0,0,0,2021-01-05,7,,,42,,,57,,
25,0,0,0,2021-01-06,6,,,29,,,32,,
30,0,0,0,2021-01-07,18,,,30,,,64,,
35,0,0,0,2021-01-08,10,11.428571428571429,6.0,33,28.571428571428573,22.0,63,46.0,39.0
40,0,0,0,2021-01-09,10,12.0,19.0,19,30.142857142857142,29.0,41,49.42857142857143,48.0
45,0,0,0,2021-01-10,3,10.714285714285714,14.0,38,28.714285714285715,25.0,52,48.42857142857143,53.0
50,0,0,0,2021-01-11,7,9.142857142857142,10.0,30,30.571428571428573,23.0,57,48.285714285714285,29.0
55,0,0,0,2021-01-12,2,8.714285714285714,7.0,18,31.571428571428573,42.0,46,52.285714285714285,57.0
60,0,0,0,2021-01-13,1,8.0,6.0,28,28.142857142857142,29.0,40,50.714285714285715,32.0
65,0,0,0,2021-01-14,11,7.285714285714286,18.0,32,28.0,30.0,35,51.857142857142854,64.0
70,0,0,0,2021-01-15,5,6.285714285714286,10.0,26,28.285714285714285,33.0,42,47.714285714285715,63.0
75,0,0,0,2021-01-16,1,5.571428571428571,10.0,8,27.285714285714285,19.0,26,44.714285714285715,41.0
80,0,0,0,2021-01-17,0,4.285714285714286,3.0,11,25.714285714285715,38.0,27,42.57142857142857,52.0
85,0,0,0,2021-01-18,11,3.857142857142857,7.0,29,21.857142857142858,30.0,63,39.0,57.0
90,0,0,0,2021-01-19,11,4.428571428571429,2.0,32,21.714285714285715,18.0,52,39.857142857142854,46.0
95,0,0,0,2021-01-20,16,5.714285714285714,1.0,44,23.714285714285715,28.0,72,40.714285714285715,40.0
100,0,0,0,2021-01-21,9,7.857142857142857,11.0,31,26.0,32.0,53,45.285714285714285,35.0
105,0,0,0,2021-01-22,15,7.571428571428571,5.0,34,25.857142857142858,26.0,54,47.857142857142854,42.0
